episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,960.5496083550914,1106.0739747595267,633.9,0,43758,42181,0,1577
5,1324.9086161879895,1765.571330168024,3415.55,1220,42684,40961,0,1723
10,955.7630548302872,13797.172107554921,7584.4,17684,30006,24497,0,5509
15,958.3583550913838,21919.74481537061,1492.7,37198,11415,4983,0,6432
20,802.6383812010444,11506.740756230165,1474.5,17665,28302,24516,0,3786
25,748.6331592689295,1047.0836920957465,139.5,1,43752,42180,0,1572
30,766.6853785900784,1020.1207901793402,345.1,2,43735,42179,0,1556
35,797.2225848563969,22178.906172353563,1622.65,30753,17489,11428,0,6061
40,766.6755874673629,1213.3111023641418,424.05,8,43841,42173,0,1668
45,755.4706266318537,1105.9220645034318,229.4,0,43743,42181,0,1562
50,766.1795039164491,1018.3165637531058,24.9,0,43622,42181,0,1441
