episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1500.889325502526,1859.411227154047,6.4,3844.0201726979753,0.9580989583333334,0.9721776666666667,18594.112271540456,3605.0924499987486,1790.8215240805862,-40.0600000000006,-22449.076920117273,0.0814665782780525,0.520523599572529,43930,35.71971845626831
2,1528.3091481615288,1931.2310704960835,12.4,3703.4830377131047,0.958515625,0.9443243,19312.31070496083,3490.353440429021,1790.7685597092443,-38.38000000000093,-23026.74355693747,0.026616108981450774,0.4511104247172224,43979,49.691070795059204
3,1517.7995859488572,1674.8720626631855,10.9,3704.7336465841718,0.9580989583333334,0.9165095666666667,16748.720626631854,3477.181136067312,1795.2889094254479,-38.99000000000081,-20464.401086175723,0.020815619136113742,0.3817594331646677,43918,48.56442379951477
4,1581.0795387196717,1679.6494778067886,11.6,3468.1261531648993,0.9593072916666667,0.8885187666666666,16796.49477806787,3291.14922876332,1806.4339774512541,-37.420000000001124,-20275.578445562867,0.01670425916526734,0.35045648122278605,44196,53.78956604003906
5,1595.677027889623,1665.425587467363,10.35,3440.8674752146426,0.9595677083333334,0.8605115,16654.255874673636,3274.946886762293,1809.2675169545598,-36.710000000001266,-20106.08325050094,0.014055021905393062,0.31549093258088096,44222,52.780397176742554
6,1594.3935418971198,1634.282637075718,6.5,3352.1351324755838,0.958734375,0.8325029666666667,16342.82637075719,3183.6032128711768,1810.8447962944965,-36.960000000001216,-19705.920838025908,0.011096692322057193,0.2940698593076913,44224,54.375606298446655
7,1618.760458982688,1658.3165796344647,11.75,3415.732908558636,0.9614322916666667,0.8044963333333334,16583.165796344645,3269.1424635292706,1811.305011370199,-34.99000000000161,-20009.862812261195,0.008651075612075804,0.2803589123851423,44221,56.46652436256409
8,1636.360388527867,1493.7251958224542,13.7,3203.5384142291323,0.9598697916666666,0.7763833,14937.251958224526,3066.1597333267746,1820.5452186589878,-35.84000000000144,-18151.756521682302,0.006328582799193879,0.2665094796330714,44389,48.42165970802307
9,1686.0077951701674,1472.4543080939948,20.55,3029.411646042953,0.9581770833333333,0.7482443,14724.543080939959,2933.9758419641366,1824.7793182088728,-32.36000000000213,-17764.930445942475,0.0059858048747287364,0.2506130335169065,44430,58.538506746292114
10,1738.4925493787127,1324.5574412532637,14.0,2826.639523727521,0.960703125,0.7199330333333334,13245.574412532635,2766.391965362007,1841.3942155943864,-31.67000000000215,-16083.19804411068,0.005121179221405128,0.23037951482147884,44702,61.61166787147522
11,1781.3742567436968,1450.5332898172323,16.05,2667.572658613988,0.9574739583333334,0.6915666666666667,14505.33289817231,2646.3659622623013,1842.0051718953807,-28.430000000001645,-17183.899775585942,0.0046250810196392465,0.21630830431183903,44789,59.31196880340576
12,1810.185821153823,1421.5685378590078,25.4,2525.7246672734877,0.9591927083333334,0.6631021333333333,14215.685378590073,2525.7246672735005,1848.8158211538262,-27.63000000000152,-16752.410045863497,0.003953057533823522,0.2002269347582274,44944,54.35101389884949
13,1806.3214348032257,1340.6697127937337,17.3,2534.6371374449554,0.9588802083333333,0.6346984,13406.697127937348,2531.6166203350444,1847.3511154842006,-27.010000000001423,-15952.333428953638,0.0037825440028420756,0.18954783499302438,44848,57.873475074768066
14,1806.2880435070163,1393.9373368146214,17.35,2533.6949494452506,0.959140625,0.6063516666666666,13939.373368146214,2533.6949494452588,1843.0580435070274,-25.77000000000123,-16484.06831759138,0.003625575797181154,0.18498398180343234,44758,62.524224281311035
15,1808.286097731004,1221.1168407310704,33.05,2312.195576766956,0.9588802083333333,0.5780315333333333,12211.16840731071,2312.19557676695,1844.6360977309985,-25.350000000001163,-14534.363984077163,0.003584329380665246,0.1809114565543769,44716,63.899590492248535
16,1760.9637827716424,1211.6912532637075,18.55,2642.9947846195478,0.9582552083333333,0.5498266666666667,12116.91253263707,2603.9157420846723,1838.8223453439048,-27.790000000001545,-14770.896837294447,0.00332572070466633,0.1721909273221931,44534,63.692298412323
17,1798.0510478688045,1162.333550913838,13.5,2372.927525892396,0.9591666666666666,0.5215477,11623.335509138382,2362.5656719722438,1845.2700480902229,-25.860000000001243,-14007.2601813321,0.0031988600399888295,0.16283902790759636,44651,62.06696391105652
18,1807.899417577523,1193.8067885117493,20.95,2304.5997441511477,0.95890625,0.4932833,11938.067885117494,2304.599744151155,1843.3694175775374,-24.470000000001026,-14253.667629268653,0.003159490795075846,0.15664066998789175,44628,62.30772662162781
19,1809.262576710712,1203.25,29.2,2325.876798937243,0.9589583333333334,0.4649568333333334,12032.50000000001,2324.4555339614762,1847.2934480728575,-25.610000000001204,-14369.376405323575,0.0028739411573136214,0.1493593905755227,44726,60.1443727016449
20,1586.3944450846516,1205.4118798955615,14.65,2426.2606460183524,0.9564583333333333,0.43757213333333345,12054.11879895561,2267.48306231397,1782.3834792552304,-26.250000000001304,-14491.340895440237,0.0028194697821033524,0.1472992187877544,43239,55.62720346450806
21,1806.5579869473577,1080.4347258485639,18.65,1953.7427488991118,0.9589583333333334,0.40941286666666665,10804.347258485639,1953.742748899102,1840.3679869473842,-22.810000000000766,-12769.090007384699,0.0028648034045919164,0.14326398253141842,44462,64.3667893409729
22,1542.277579971465,1081.530678851175,29.45,2730.3929739969003,0.95665625,0.3823613,10815.306788511747,2540.814534182891,1766.500828021846,-23.690000000000904,-13556.654570745077,0.002997984454290456,0.14199706488889213,42713,52.483898639678955
23,1797.640769691705,1082.2741514360314,25.55,2502.3090604934932,0.958984375,0.3541976000000001,10822.741514360318,2493.8368963566095,1840.9405967477066,-23.830000000000926,-13336.04823777305,0.0028783421259003547,0.13632240211847726,44469,73.84983420372009
24,1802.1508122551384,1070.9151436031332,32.55,1911.4487933282492,0.95953125,0.3261219333333333,10709.151436031338,1911.4487933282403,1834.640812255134,-21.49000000000056,-12631.600229359361,0.002694989609239365,0.13311797374734852,44330,66.89003610610962
25,1800.9184061264834,1014.4608355091384,36.7,2020.8895913798617,0.9595833333333333,0.29812099999999997,10144.608355091385,2020.889591379854,1832.2284061265207,-20.310000000000375,-12176.49794647161,0.002615204403601141,0.12646299899123348,44212,72.93690657615662
26,1799.4099034476055,1058.2114882506528,34.3,2250.3294545991293,0.9596614583333334,0.27009853333333345,10582.114882506532,2250.329454599139,1831.0599034476088,-20.65000000000043,-12843.444337105784,0.0024064254353532103,0.12551192089485616,44246,53.42087125778198
27,1513.3673891903397,940.0450391644908,23.65,2673.107259711186,0.9525520833333333,0.2433015666666667,9400.450391644912,2464.79785480577,1753.917616994237,-21.29000000000053,-12084.508474254311,0.0023865300759056958,0.12014148627346685,42311,53.038392066955566
28,1530.8153298001935,1030.3002610966057,33.0,1753.0030259046964,0.9520833333333333,0.21656476666666669,10303.00261096606,1568.0119806145096,1745.0821673607481,-18.320000000000064,-12066.9614291416,0.0023047317352258754,0.11686412192050868,42216,62.864484786987305
29,1789.7797305711333,880.5926892950391,60.25,1664.2709291741494,0.9598177083333334,0.18885390000000002,8805.926892950396,1664.2709291741442,1816.5097305711108,-15.729999999999709,-10481.197822124515,0.002154060490283442,0.11288769313459168,43754,65.37648153305054
