episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,821.8609660574413,2364.2614086447393,2929.4,1680,42186,40501,0,1685
5,1852.8988250652742,980.6767694162218,819.25,5,43717,42176,0,1541
10,979.5678851174935,20178.118994317203,2327.75,25673,21131,16508,0,4623
15,1195.5450391644908,1288.1996851091048,1788.55,9,43791,42172,0,1619
20,795.3270234986945,1403.8758395040468,1269.95,665,43488,41516,0,1972
25,775.9321148825065,1019.9179561612832,252.4,6,43716,42175,0,1541
30,892.3681462140992,1127.8286550714654,0.4,0,43756,42181,0,1575
35,961.9562663185378,23513.890280203694,187.45,30365,17298,11816,0,5482
40,747.3159268929504,1022.7967723683239,55.9,0,43673,42181,0,1492
45,779.8022193211489,1029.7911141725504,0.4,0,43585,42181,0,1404
50,801.4647519582245,1018.7535240719329,237.8,6,43717,42175,0,1542
