episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,995.9275456919061,1094.5860906787375,625.2,1,24990.0,6653.0,43693,42180,0,1513
5,905.6853785900784,1029.8176584909838,652.75,2,46794.0,9635.0,43834,42179,0,1655
10,875.0528720626631,24887.801175920686,1887.3,40274,46794.0,46789.0,8814,1907,0,6907
15,765.9869451697128,1018.7906713572289,87.75,0,26425.0,5190.0,43617,42181,0,1436
20,780.5150130548303,4673.916750719575,832.85,4262,17589.0,21463.0,40213,37919,0,2294
25,816.0404699738904,1020.5793254446604,640.95,1,34527.0,5416.0,43714,42180,0,1534
30,809.0985639686684,12926.600752786046,1324.0,17627,17112.0,37553.0,28623,24554,0,4069
35,841.8204960835509,23288.05021033728,1725.5,34066,32523.0,46752.0,14214,8115,0,6099
40,760.9667101827677,1022.0235676154394,0.4,9,24988.0,15582.0,43695,42172,0,1523
45,961.5979112271541,1439.156215405053,0.85,0,21349.0,28589.0,43611,42181,0,1430
50,765.2030026109661,1018.1429555462619,11.25,0,24989.0,19728.0,43607,42181,0,1426
55,772.0842036553524,1020.6663878570198,24.65,5,3186.0,45262.0,43703,42176,0,1527
60,760.2539164490862,1018.3294791999804,3.95,0,1526.0,24967.0,43605,42181,0,1424
65,760.1657963446476,1018.3328003148908,1.95,0,1526.0,24986.0,43607,42181,0,1426
70,775.6527415143603,7923.390120298162,1370.2,17494,20091.0,25154.0,28616,24687,0,3929
75,747.4895561357703,1018.8105488449901,1.8,0,4313.0,22579.0,43591,42181,0,1410
80,1489.128590078329,18714.170877512362,1330.15,25667,12089.0,42696.0,21346,16514,0,4832
85,988.6795039164491,16237.673669708973,9560.15,31802,46794.0,38118.0,16455,10379,0,6076
90,769.9236292428199,1017.9650421904598,0.4,0,20123.0,24986.0,43599,42181,0,1418
95,1001.6357702349869,24778.584221014047,470.2,40455,37482.0,46627.0,8560,1726,0,6834
100,1111.9973890339425,1962.6840266673228,604.3,0,34527.0,34485.0,44065,42181,0,1884
105,745.829634464752,1018.8731088095648,0.65,0,1793.0,24986.0,43585,42181,0,1404
110,807.498041775457,1039.4821766833134,3.4,0,23566.0,27733.0,43601,42181,0,1420
115,862.8805483028721,1014.4697532534626,14.75,0,1634.0,24940.0,43607,42181,0,1426
120,789.4118798955614,1017.2305591773476,0.4,0,1557.0,2423.0,43602,42181,0,1421
125,745.6422976501306,1018.8801692538561,0.4,0,1511.0,24986.0,43599,42181,0,1418
130,779.329634464752,1018.0671357228961,158.5,0,24991.0,5193.0,43591,42181,0,1410
135,793.5150130548303,1017.0759182267707,0.4,0,1561.0,2423.0,43602,42181,0,1421
140,1141.8988250652742,1003.945853526532,3.55,0,1929.0,24915.0,43602,42181,0,1421
145,804.2506527415144,1016.6713080272577,74.6,0,24040.0,24915.0,43611,42181,0,1430
150,746.6187989556136,1052.2670176388103,0.4,0,1512.0,2498.0,43659,42181,0,1478
