episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1609.7876539912609,1852.1768929503917,8.85,3790.514231592413,0.9578385416666667,0.9721555,18624.46721318219,3556.0417476444777,1792.5472403712465,-40.0400000000006,-22323.22854720704,0.08385788377181,0.5770591376537413,43965,17.94184398651123
2,1630.9875199133326,1841.3727154046996,10.65,3826.437058722232,0.9579947916666667,0.9443091,18541.63724169627,3589.560456591788,1791.1689284878703,-40.27000000000056,-22251.109106862772,0.03173260059963798,0.4197356281670691,43968,23.3686740398407
3,1604.5097395715536,1726.0522193211489,11.3,3936.2170533100443,0.9575260416666667,0.9165437666666667,17392.213105225455,3670.579030234446,1790.745938925689,-41.35000000000034,-21207.678334814053,0.027132742847751353,0.3935893133188341,43840,25.15775489807129
4,1557.5770969728574,1733.0430809399477,13.45,4002.6110605426948,0.9575260416666667,0.8888449333333334,17429.590698796314,3726.244089645533,1786.8911264915914,-41.17000000000038,-21343.97881796097,0.024053507014800454,0.37189561910962354,43735,27.47748041152954
5,1600.1965515549568,1652.1390339425589,18.65,3878.799084848336,0.958984375,0.8610593333333333,16630.6288232202,3626.7614947477296,1794.4974768479,-40.5600000000005,-20411.131243260752,0.021393016064102623,0.3453100378354096,43872,27.027411222457886
6,1566.032385394747,1695.8126631853786,13.6,3774.064700238628,0.9583072916666666,0.8332009,17016.823514755994,3534.412408669328,1798.6221223355728,-40.690000000000474,-20743.13566036659,0.017543717448402673,0.3101293776403728,43987,28.240237712860107
7,1666.826465924925,1598.3909921671018,14.15,3534.866515781446,0.9583229166666666,0.8052417666666667,16078.358267861237,3348.2711505818315,1807.6889327928395,-37.76000000000106,-19529.73188531099,0.01556180994708204,0.288988364095121,44146,28.19946789741516
8,1750.3336774008776,1518.8557441253263,16.5,3293.4854977982236,0.9600260416666667,0.7771287333333333,15300.766089930377,3157.0969519545356,1821.2299452038685,-35.75000000000146,-18493.009309687815,0.01225773185945588,0.27461801378781353,44389,28.799743175506592
9,1737.0537025094332,1541.8753263707572,11.4,3387.121257595513,0.9608072916666667,0.7490955,15519.893606330572,3250.18128367246,1818.3595814417142,-34.5400000000017,-18816.84076893533,0.009312080457292897,0.26182240978141913,44263,29.261142015457153
10,1773.2242668780962,1431.4934725848564,10.6,3186.582179143398,0.9603645833333333,0.7210287,14432.902943486726,3064.426972373246,1822.10082475716,-33.72000000000186,-17512.486473738994,0.007288833145676114,0.24759696430054615,44316,29.16501235961914
11,1827.0676701272816,1392.6351174934725,15.95,2969.4086939408103,0.9607552083333334,0.6927636666666667,14022.293685604078,2907.276661172476,1835.370832660251,-31.130000000002067,-16906.74350930951,0.006269398613366672,0.22684609582414414,44629,28.38262629508972
12,1865.201173647549,1389.8537859007834,17.9,2561.6021796354153,0.958984375,0.6643352333333333,13966.854454033328,2550.2498462446606,1847.5637877046809,-28.33000000000163,-16471.136914335,0.005747692509534085,0.21451772917313003,44887,29.683053016662598
