episode,gold_delay,bronze_wait,late_gold,unscheduled,worst_gold_wait,worst_bronze_wait,steps,place_ok,place_fail,noop
1,5785.019582245431,1523.0031735098034,0.4,1,46794.0,6739.0,43727,42180,0,1547
5,1035.6651436031332,1008.9347093409432,562.6,1,46794.0,5568.0,43695,42180,0,1515
10,955.8446475195823,1015.9845014637507,682.75,1,34532.0,8845.0,43721,42180,0,1541
15,819.6011749347258,1016.629142168319,7.0,1,46794.0,5954.0,43737,42180,0,1557
20,786.9425587467363,1018.3963935152157,0.8,2,46794.0,5560.0,43698,42179,0,1519
25,933.4288511749347,6697.032768333785,1727.65,5437,46794.0,10520.0,40710,36744,0,3966
30,799.5156657963446,8530.111122044822,758.95,9873,34705.0,46789.0,35800,32308,0,3492
35,990.2036553524804,2728.4615857708677,1115.25,2921,26423.0,13459.0,40427,39260,0,1167
40,793.1011749347258,5343.053506851337,1139.75,9126,23406.0,37398.0,35332,33055,0,2277
45,865.708224543081,1037.0729415237768,1510.2,3,26426.0,24002.0,43753,42178,0,1575
50,793.0659268929504,1020.2468941425374,45.3,6,46794.0,20025.0,43707,42175,0,1532
