episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1501.6979127192549,1851.5946475195822,8.35,3818.347634628158,0.9576302083333333,0.9721764,18515.94647519581,3580.3853796582034,1790.604840374906,-40.00000000000061,-22345.2387825098,0.09634616293434882,0.666321758449349,43932,35.4810094833374
2,1533.0937201345344,1767.2748041775458,12.1,3589.1045044158527,0.9586197916666667,0.9442483,17672.748041775463,3375.1499682222857,1797.627898385771,-39.630000000000685,-21272.802188248806,0.031003895216182555,0.4338863199094467,44097,48.94009208679199
3,1515.6554678727084,1738.0678851174935,10.3,3703.5413909321264,0.958046875,0.9163816333333333,17380.67885117493,3472.657437800418,1797.5755451403422,-40.09000000000059,-21095.166366242902,0.025838506469594326,0.38867582117627014,44000,52.80479168891907
4,1516.0980417173334,1579.7291122715405,13.35,3794.539693473394,0.9583072916666666,0.8885048333333333,15797.291122715396,3559.5873332562956,1802.585689641412,-40.590000000000494,-19602.77610389595,0.022237464911169486,0.3532272866289998,44016,61.22972893714905
5,1507.029267583876,1648.2493472584856,11.95,3741.3003763930233,0.9577864583333333,0.8606844,16482.49347258485,3502.9759306707942,1796.278312189222,-39.980000000000615,-20234.738447860887,0.018367900066689345,0.3148323513360154,43927,58.37765121459961
6,1552.3437893741623,1533.876631853786,14.45,3630.819601958228,0.9590104166666666,0.8327740333333333,15338.766318537866,3425.8840361571133,1806.8108914984375,-38.580000000000894,-18980.537456819635,0.01600828624056469,0.2844512603149231,44069,62.625828981399536
7,1548.3996132388224,1567.2486945169712,8.85,3657.590715638761,0.9593489583333333,0.8048782333333333,15672.486945169703,3450.0970292711477,1805.4142947108967,-38.570000000000896,-19341.02865591261,0.013249154792856049,0.26849681440431084,44046,59.43267226219177
8,1552.9648668815912,1574.4373368146214,12.15,3525.72058353219,0.959515625,0.7769862333333333,15744.373368146214,3322.6404588381533,1805.1269215123932,-38.13000000000098,-19281.04588161498,0.010658277638584061,0.2564956956263996,44040,57.026463985443115
9,1568.6540876277613,1439.1462140992166,10.95,3510.0853895544788,0.9585833333333333,0.7490498999999999,14391.462140992171,3315.9037822568603,1811.849519127709,-38.060000000001,-17912.501354749165,0.009063235146154182,0.2481076948596166,44110,65.26864290237427
10,1706.5706145421664,1415.7036553524804,16.35,3043.624984624468,0.9595833333333333,0.7208228666666667,14157.036553524806,2960.609170960046,1833.125074667763,-32.56000000000209,-17211.64018461018,0.007607479584478444,0.2395156392900316,44569,57.37385892868042
11,1759.5492086578004,1408.6586161879895,15.15,2740.3685699525204,0.9587760416666666,0.6925128666666667,14086.586161879903,2701.288444749558,1839.0688538981417,-29.450000000001804,-16837.94425186975,0.0065814834033127365,0.22907693259349818,44700,74.27106428146362
12,1726.8799074504273,1362.2604438642297,25.1,2861.081551821693,0.960390625,0.6643111666666667,13622.604438642296,2796.6200838115383,1832.6844500749623,-30.360000000001946,-16494.66906507829,0.005765684631001732,0.2131279165859757,44529,74.44950914382935
13,1748.1432156003104,1373.0613577023498,17.15,2458.641614799872,0.9577604166666667,0.6360645,13730.613577023496,2411.2894812245554,1835.8027289389559,-29.320000000001784,-16200.242571586869,0.005637798599283789,0.20062271150096433,44600,58.566521406173706
14,1757.9592276032097,1250.4432114882507,15.05,2716.488769711432,0.9592447916666667,0.6077500666666666,12504.432114882498,2670.762256474914,1844.893538817532,-30.220000000001924,-15231.908682571639,0.005110717475423474,0.18988447583265364,44707,66.52839541435242
15,1740.7819826222158,1284.1951697127938,16.8,2734.671308027258,0.9602864583333334,0.5795205,12841.951697127937,2677.366940836874,1839.1511956882716,-30.080000000001903,-15587.607851030793,0.004676591140254511,0.18136249001944738,44573,59.916969776153564
16,1759.1566341799057,1188.666449086162,25.4,2355.6471253905383,0.95625,0.5512915666666667,11886.664490861624,2313.9157643558556,1840.3268264281717,-28.450000000001648,-14253.300447465603,0.004408538861354285,0.17013002106830244,44572,58.00961136817932
17,1789.7930721146272,1142.6253263707572,29.3,2655.432163152845,0.9575520833333333,0.5229613,11426.253263707573,2634.7821017334436,1849.2374999390895,-27.800000000001546,-14092.679793265894,0.004196765924356634,0.1609670218921932,44732,63.394543409347534
18,1804.959007088053,1145.693864229765,19.25,2137.215970872592,0.958984375,0.49479570000000006,11456.938642297644,2137.2153802745215,1838.8695976861138,-22.91000000000078,-13605.15461317056,0.003759767200375978,0.15369583455903735,44472,65.90880036354065
19,1780.1100600269501,1121.5607049608354,17.45,2473.583679795321,0.9580989583333334,0.46651863333333343,11215.607049608361,2445.86101219748,1846.545224365172,-27.720000000001534,-13700.183226144147,0.003510816843831231,0.147614969453314,44648,62.20020031929016
20,1792.4640818184114,1139.7310704960835,18.4,2632.1565352161183,0.957265625,0.4382821,11397.31070496084,2617.82163947161,1843.4250414267085,-25.630000000001207,-14040.463304040471,0.0033992335026847885,0.14145871445678596,44584,64.10335564613342
21,1692.3283219371958,1200.371409921671,25.35,2438.188786932028,0.957734375,0.41050853333333337,12003.714099216706,2356.6242307851085,1810.1318689572192,-25.26000000000115,-14452.88187702175,0.0032156017513899388,0.1391153728374189,43853,66.01721286773682
22,1431.3681680043167,1156.4902088772847,32.9,2286.1331890083397,0.953515625,0.3837894666666667,11564.902088772855,2014.2185412043257,1739.560649457391,-25.34000000000116,-13861.973111430338,0.0031566577698178143,0.13820730971773454,42188,63.28783559799194
23,1803.891141963193,1039.0430809399477,29.8,2051.3078058500823,0.9586979166666667,0.3557068333333333,10390.430809399475,2051.229750685931,1836.5691971273573,-21.600000000000577,-12452.738615249757,0.0030442428827111017,0.13666298808250454,44341,63.17184495925903
24,1803.3120158717509,995.9875979112271,28.75,1708.2389480676031,0.9592708333333333,0.3276596666666668,9959.875979112272,1708.21741174847,1835.37355219087,-21.04000000000049,-11679.114927179964,0.0031686642444688504,0.13223332784522035,44285,68.85611581802368
25,1805.065334449486,1002.2565274151436,38.4,2072.5446874461854,0.9588020833333334,0.2995732333333334,10022.56527415144,2072.534109727641,1837.7359121680195,-21.660000000000586,-12106.109961597687,0.003014377632213703,0.12845443854092695,44347,58.81066918373108
26,1672.8134112925818,1017.128590078329,45.35,3436.8449900366554,0.9594270833333334,0.2719060666666667,10171.285900783285,3335.3119680540112,1810.8107253857465,-25.490000000001185,-13619.10518293024,0.003048888143908927,0.12183893820214274,43685,63.624369382858276
27,1617.7123030608936,992.9314621409922,55.15,1944.861300400994,0.9529166666666666,0.24470313333333327,9929.31462140992,1815.9228387707249,1778.318808185474,-20.700000000000436,-11885.14396530506,0.002754295776452136,0.11765721413704516,42952,63.778785705566406
28,1473.913319243407,1042.1847258485639,51.1,1986.9144874412655,0.9524479166666666,0.218074,10421.84725848565,1753.8663499746406,1738.6371380305986,-20.73000000000044,-12419.707427247493,0.0028119218891197056,0.11781027586503318,42046,57.215983390808105
29,1804.1609398077574,913.4869451697128,48.0,1838.4753622475337,0.9586979166666667,0.19006230000000002,9134.869451697132,1838.4405129271895,1835.6757891281081,-20.480000000000402,-10984.344813944737,0.002717492881257276,0.11494835098771947,44229,65.84353041648865
30,1797.082004747456,917.8825065274151,59.15,1765.328003148909,0.9592708333333333,0.16217916666666665,9178.825065274155,1765.2866612646271,1826.5733466317265,-18.450000000000085,-10955.153068423288,0.0025311905400414326,0.11355512990261507,44026,65.18836975097656
31,1793.3925914045894,1016.9556135770235,84.9,1826.607173608207,0.9588020833333334,0.13433783333333338,10169.556135770237,1826.5313543041466,1822.2584107086623,-17.78999999999998,-12007.163309378317,0.0024983667886041066,0.11118584321613838,43960,64.86660385131836
32,1796.224868295081,958.8994778067885,58.7,2199.8803906615167,0.9590364583333333,0.10645913333333334,9588.994778067889,2199.8659985392146,1825.6192604173943,-18.380000000000074,-11799.875168729683,0.002419733547898484,0.10874697204981354,44019,66.3378312587738
33,1801.0208118008807,854.8191906005222,125.5,2162.6649118059486,0.9551041666666666,0.07853673333333333,8548.19190600522,2161.669963347867,1832.0857602589554,-19.07000000000018,-10721.856817811238,0.002355426718936992,0.10380092241449199,44088,62.30410981178284
34,1679.933541542901,983.8224543080939,104.7,2195.868434647839,0.959453125,0.0509126333333334,9838.224543080943,2104.470487151228,1805.709249870004,-23.40000000000086,-12045.070738559163,0.0022937977703447127,0.10461212076036609,43617,64.85286021232605
35,1769.0377959942903,768.4445169712794,101.35,1669.8943639449924,0.9586458333333333,0.050000000000000044,7684.445169712795,1636.8562715034227,1835.5087787898515,-22.44000000000071,-9365.332424011873,0.002181456792116593,0.10261408118183389,44136,52.877158880233765
36,1790.112047591979,917.1540469973891,165.15,1547.3777952717164,0.95515625,0.050000000000000044,9171.540469973885,1546.0774077951112,1819.5724350685473,-17.159999999999883,-10729.918265245846,0.0020005405693501147,0.10103814200103685,43897,55.55628800392151
37,1792.8763773702722,812.7819843342037,123.05,2034.8161578390611,0.95375,0.050000000000000044,8127.819843342037,2033.3718900826923,1821.6106205257686,-16.289999999999747,-10173.63597658083,0.0019141395603732541,0.09871468886998497,43809,64.32111406326294
38,1786.5634547387558,874.8426892950391,77.9,1940.1877290954267,0.95328125,0.050000000000000044,8748.426892950387,1938.665178412194,1814.5559808211256,-15.469999999999715,-10699.614597445514,0.0018425685761768265,0.09952309706729824,43727,65.58517551422119
39,1795.568603060443,779.8694516971279,66.25,1485.7688012005215,0.9542708333333333,0.050000000000000044,7798.694516971276,1484.6986696621204,1824.6287099979702,-16.989999999999856,-9295.463293571405,0.001910446237115008,0.09683929779400571,43879,65.29427361488342
40,1550.0170207058911,983.6788511749347,171.6,2369.5392260572216,0.95265625,0.050000000000000044,9836.78851174935,2199.86646901591,1747.9491863427304,-17.299999999999905,-12217.287146401946,0.0018896085010910702,0.10022479201273013,42261,59.416587114334106
41,1709.4375736494428,782.6801566579635,32.0,1278.6804595439003,0.9528125,0.050000000000000044,7826.8015665796365,1218.754351952357,1796.8985763183503,-16.549999999999788,-9116.466921201274,0.0017083689217502604,0.09881527330128607,43222,62.325342655181885
42,1789.6221839160849,849.8590078328982,113.75,1998.4491377401657,0.9538541666666667,0.050000000000000044,8498.590078328978,1996.5583889236204,1817.9528589300955,-15.439999999999715,-10508.03914226668,0.0017282201002954097,0.09733009025688573,43722,63.848350286483765
43,1724.6147272229973,867.9843342036554,115.05,1936.714605525351,0.9590625,0.050000000000000044,8679.84334203655,1889.6043769768514,1799.6024339382284,-16.88999999999984,-10627.545425728717,0.0017641734773496285,0.0977764437564667,43361,64.38103175163269
44,1790.7812182864252,831.2532637075718,96.8,1849.7743855937415,0.9546875,0.050000000000000044,8312.532637075723,1849.3897929711575,1817.5158109090166,-15.349999999999717,-10173.307022669887,0.0016571542542417146,0.09751227249445678,43716,66.43649411201477
