episode,gold_delay,bronze_wait,late_gold,unscheduled,steps,place_ok,place_fail,noop
1,1372.979765013055,1020.0254864818322,362.5,9,43770,42172,0,1598
5,1032.6318537859008,1927.1605943565648,1723.35,830,43415,41351,0,2064
10,957.936684073107,23122.34084479323,4485.15,29177,18360,13004,0,5356
15,1188.03590078329,1199.7944844891633,244.4,0,43571,42181,0,1390
20,778.208224543081,1584.7956407291692,853.6,5,44034,42176,0,1858
25,868.2212793733681,1017.8188885335433,384.35,4,43731,42177,0,1554
30,915.5724543080939,10890.049693719402,2419.1,11088,37347,31093,0,6254
35,1239.559399477807,1009.9170459297892,145.05,3,43664,42178,0,1486
40,906.5678851174935,2455.0820192378656,420.45,0,43416,42181,0,1235
45,764.5992167101828,6545.422790228542,935.35,5624,40046,36557,0,3489
50,954.394908616188,1040.9837142365127,136.45,0,43603,42181,0,1422
