episode,total_reward,gold_delay,late_gold_delay,bronze_wait,cpu_util,epsilon,r_gold,r_bronze,r_util,r_noop,r_queue,loss,q_mag,steps,wall_time
1,1499.4723133149962,1854.2878590078328,11.95,3758.3462815813427,0.957890625,0.9721447333333333,18542.878590078304,3518.8147801914065,1790.5781675795024,-40.630000000000486,-22312.16922453429,0.10810978863945503,1.9646892606742483,43982,34.48454236984253
2,1491.1801061783422,1868.016318537859,10.0,3868.5743806735713,0.9583072916666666,0.944368,18680.163185378588,3622.6301508031956,1787.9873850781694,-39.92000000000063,-22559.680615081197,0.05561747796667547,0.7783012756716375,43858,42.78366160392761
3,1504.579240473169,1850.6690600522193,11.65,3762.695908878447,0.9580989583333334,0.9165450333333334,18506.690600522194,3527.8634160742145,1790.0870455852194,-39.730000000000665,-22280.331821708438,0.04864974607064435,0.6627947443622186,43931,47.57423663139343
4,1522.5327597148137,1639.1788511749348,10.1,3707.844842431548,0.958359375,0.8886650666666667,16391.788511749342,3480.293217545299,1801.051197560766,-40.02000000000061,-20110.58016714051,0.03897562952675623,0.6335882262106384,44021,46.85064888000488
5,1540.0950640311405,1627.824412532637,11.55,3650.3799109449187,0.958828125,0.8607673666666666,16278.244125326364,3437.603877094156,1802.870985948022,-39.0500000000008,-19939.573924337463,0.03203123426341148,0.5962002352446962,44049,45.64516019821167
6,1562.979502284943,1575.2310704960835,16.65,3514.7867352210387,0.9581666666666666,0.8327892333333333,15752.310704960833,3319.22416295603,1808.3356035420343,-38.84000000000084,-19278.050969173994,0.030027135506466657,0.5801280023709539,44176,48.37915349006653
7,1560.6512921876626,1585.5913838120105,9.25,3614.945066299294,0.9585833333333333,0.8048541666666666,15855.913838120106,3417.7681369775705,1807.0814060895948,-38.30000000000095,-19481.812088999442,0.036202527028083124,0.5710391823883099,44108,48.41637682914734
8,1561.675383119018,1557.6011749347258,11.4,3503.6555142807943,0.9581145833333333,0.7769146666666666,15576.011749347264,3306.4788063667133,1808.175275613316,-38.370000000000935,-19090.6204482084,0.035407672130774635,0.5646593229867976,44115,52.48658847808838
9,1524.7285661345156,1468.3035248041776,12.15,3393.8239071071857,0.9582552083333333,0.7490853666666667,14683.035248041777,3165.7962311496094,1802.9629566484282,-39.26000000000076,-18087.805869705284,0.03244929564886128,0.5578756097210361,43941,49.70195126533508
10,1518.9983212538996,1500.939947780679,14.75,3499.7746316022535,0.9579947916666667,0.7213175000000001,15009.399477806775,3268.174838249413,1800.1340911375405,-38.59000000000089,-18520.120085940507,0.028949094162268124,0.5589399376630562,43844,52.04858660697937
11,1525.004175041393,1442.2395561357703,18.45,3497.1591183054934,0.9586197916666667,0.6935331666666666,14422.395561357684,3270.3197372629065,1801.2405166488127,-38.45000000000092,-17930.501640228027,0.026233742587190502,0.5523528203673181,43870,54.67382073402405
12,1537.3842865432855,1375.340731070496,16.7,3322.698344362715,0.9587760416666666,0.6657729,13753.407310704959,3106.1505572092797,1802.0811745356211,-37.20000000000117,-17087.054755906433,0.02419564532420999,0.5493072114037776,43832,54.38977885246277
13,1531.7220884072515,1346.6932114882507,24.55,3327.091269157913,0.9587760416666666,0.6380664666666667,13466.932114882515,3105.7033629363414,1800.8180868328068,-36.760000000001256,-16804.971476244526,0.024148355921842293,0.5487819153805156,43747,54.61266016960144
14,1611.3058906019994,1328.9471279373367,22.65,3210.880513665773,0.9587864583333334,0.6101238,13289.471279373363,3051.989618440831,1816.2282116923004,-35.07000000000159,-16511.313218904477,0.024263974911256078,0.5474164135245628,44120,50.352012634277344
15,1570.557189711407,1288.4242819843341,19.6,3161.2575217102512,0.9585833333333333,0.5823223666666667,12884.242819843354,2970.4138601195664,1807.9953889291073,-35.64000000000148,-16056.454879180741,0.02350285414435239,0.5369568391696542,43897,50.56947708129883
16,1740.0900512950648,1317.6462140992166,17.85,2705.412531673596,0.96015625,0.554108,13176.462140992173,2649.183399345636,1837.0343001080744,-29.730000000001848,-15892.859789150469,0.02246158092373442,0.5184360495694155,44549,59.76593780517578
17,1810.6752884074592,1300.5058746736293,25.65,2184.651455140348,0.95875,0.525741,13005.058746736288,2184.651455140353,1847.7652884074785,-26.09000000000128,-15200.710201875994,0.024468827155442806,0.5341900194814942,44790,56.19104242324829
18,1804.733529649749,1242.6729765013056,18.15,2080.883908583237,0.9586979166666667,0.49752473333333336,12426.72976501306,2080.8839085832274,1839.4435296497384,-23.710000000000907,-14518.613673596636,0.027729876632674687,0.5223581290212979,44552,55.7994704246521
19,1805.4771417406007,1195.4425587467363,29.25,1972.0076262638688,0.95859375,0.46931733333333336,11954.425587467364,1972.0076262638636,1840.047141740577,-23.570000000000885,-13937.433213731802,0.02446247698512754,0.5038711878175108,44538,59.78195023536682
20,1805.7118734973794,1128.4654046997389,18.2,1907.0074294570593,0.95859375,0.44112133333333337,11284.65404699739,1907.0074294570518,1840.101873497386,-23.390000000000857,-13202.661476454252,0.02224262560938372,0.478173347135284,44520,54.5334837436676
21,1631.2947688554646,1150.8328981723237,30.95,1867.7963787547048,0.9526041666666667,0.41366063333333336,11508.328981723234,1744.113459125685,1790.2369128196594,-24.290000000000997,-13387.094584813261,0.021315245117874863,0.4596708799838233,43359,54.21345019340515
22,1805.0912657220476,1120.4712793733681,35.9,1932.8448424315482,0.95921875,0.38553176666666666,11204.712793733688,1932.8448424315297,1838.4212657220567,-22.33000000000069,-13148.557636165227,0.023698420111100807,0.44700569675703206,44414,54.896772146224976
23,1801.8701050482484,1066.2389033942559,28.35,1687.343969101331,0.95859375,0.3574706666666667,10662.389033942563,1687.3439691013164,1834.13010504823,-21.260000000000524,-12360.733003043648,0.021508721919922882,0.4306870310086722,44307,50.21808481216431
24,1803.9590156340794,1064.2421671018276,31.55,1684.6578021599548,0.9584895833333333,0.3293779,10642.42167101827,1684.657802159946,1836.7190156340644,-21.760000000000602,-12338.079473178443,0.018775722508613858,0.4074556436356269,44357,53.760523319244385
25,1800.3921865137033,1020.9464751958225,26.5,1813.9455583163178,0.9589583333333334,0.3013959666666667,10209.464751958216,1813.9455583163015,1831.402186513729,-20.01000000000033,-12034.410310275098,0.017942321335201405,0.3882409222333985,44182,53.18777823448181
26,1798.1514295345366,1027.8250652741515,44.8,1625.8148539939482,0.95890625,0.27342733333333336,10278.250652741515,1625.8148539939398,1828.951429534546,-19.800000000000296,-11915.065506735307,0.01687967461009739,0.37014974643829046,44161,59.16460919380188
27,1798.124507421612,972.7813315926893,50.8,1637.8453836502742,0.9584895833333333,0.24551633333333345,9727.813315926893,1637.8453836502715,1828.014507421603,-18.890000000000153,-11376.6586995778,0.016269586023461766,0.3579029142851215,44070,51.62709164619446
28,1797.2673376455887,974.1977806788511,48.15,1576.562523063298,0.9593229166666667,0.21760153333333332,9741.97780678851,1576.5625230632777,1827.2173376455987,-18.950000000000163,-11329.540329852227,0.015095976532048545,0.3443717529259729,44076,53.36944103240967
29,1795.696892667299,959.1964751958225,40.0,1760.5233585082044,0.95953125,0.1897399333333334,9591.964751958227,1760.5233585081928,1824.8068926673018,-18.11000000000003,-11363.488110466811,0.014190903441362503,0.34412455439067313,43992,52.35609412193298
30,1788.9530107818393,1053.1116187989555,41.3,1541.357745577997,0.9593229166666667,0.16192583333333344,10531.116187989557,1541.3577455779719,1817.3130107818452,-17.359999999999914,-12083.473933568046,0.01442550157541443,0.3360149538250583,43917,57.054067850112915
31,1793.9302333636365,870.357049608355,48.45,1380.5676400403454,0.95734375,0.13414403333333336,8703.570496083554,1380.5676400403281,1821.7802333636441,-16.849999999999834,-10095.138136123986,0.014192833763780553,0.32579851999466813,43866,84.96119117736816
32,1796.2424557279382,847.6775456919061,71.05,2423.5715269748334,0.9553645833333333,0.10629763333333331,8476.775456919067,2422.236856995228,1826.5967566947816,-18.020000000000017,-10911.346614881615,0.014113134732011555,0.33175377431081965,43968,84.53255271911621
33,1791.1760959281874,907.7323759791122,97.25,1547.7058476223278,0.9597916666666667,0.07857980000000009,9077.323759791121,1547.705847622317,1818.016095928213,-15.839999999999707,-10636.029607413602,0.012726913365356552,0.3164222830709634,43765,79.50493335723877
34,1787.4570921300046,908.7297650130548,63.55,1260.3072892322075,0.9597916666666667,0.050932266666666615,9087.297650130547,1260.3072892322016,1813.1870921300194,-14.72999999999973,-10358.604939362607,0.012498989622705979,0.30011859989136064,43654,81.94914841651917
35,1790.8955369356734,821.7578328981723,158.1,1627.7071268665895,0.9598958333333333,0.050000000000000044,8217.578328981723,1627.707126866582,1817.545536935684,-15.64999999999971,-9856.285455848807,0.012417150879616161,0.28519038787337014,43746,84.30552864074707
36,1787.474544969128,833.2676240208878,122.65,1242.1895249575634,0.95984375,0.050000000000000044,8332.676240208879,1242.189524957536,1813.3145449691485,-14.839999999999728,-9585.865765166795,0.01183539373329471,0.27783148935045376,43665,85.88475680351257
37,1796.1301208122597,916.0600522193212,130.1,1317.8119510935078,0.9594270833333334,0.050000000000000044,9160.600522193206,1316.1184776993234,1827.9631267902798,-19.140000000000192,-10489.412005871009,0.011848197746028338,0.2767607268030832,44076,85.51531314849854
38,1788.4904743058116,821.3851174934725,135.0,1910.3877832172993,0.9578125,0.050000000000000044,8213.851174934729,1910.3877832173139,1813.840474305818,-14.349999999999739,-10135.238958152377,0.01142922849545048,0.2857035516563514,43616,85.90373873710632
39,1787.8071727871281,918.9608355091384,142.95,1270.5851804472434,0.9578125,0.050000000000000044,9189.60835509138,1270.5851804472281,1814.8071727871172,-15.999999999999703,-10471.193535538834,0.011693799350394109,0.28528223707993344,43781,85.4726881980896
40,1787.7875189769577,840.4569190600522,109.35,1127.1044306132992,0.9580729166666667,0.050000000000000044,8404.569190600518,1127.104430613258,1813.817518976981,-15.029999999999724,-9542.673621214264,0.00939224006742549,0.28617109961694454,43684,82.28501009941101
41,1780.688211661856,990.2114882506528,91.0,1366.3649536273956,0.95984375,0.050000000000000044,9902.114882506527,1366.3649536273742,1806.2882116618525,-14.599999999999733,-11279.479836133854,0.009907829609752868,0.29404137629219174,43641,81.91472959518433
42,1789.1861155499987,902.2800261096605,170.55,1291.3933184088169,0.9597916666666667,0.050000000000000044,9022.800261096607,1291.3933184087948,1816.2161155500032,-16.029999999999706,-10325.193579505658,0.011223670067588702,0.2956736121629058,43784,68.36727142333984
43,1792.7979031104464,883.6951697127937,119.25,1492.262171271126,0.9592708333333333,0.050000000000000044,8836.951697127935,1492.2621712711132,1819.977903110444,-16.17999999999973,-10340.213868399247,0.01108242224015416,0.28772044205529607,43799,75.07600617408752
44,1796.916537043774,887.5013054830288,147.6,1572.9168491229796,0.9593229166666667,0.050000000000000044,8875.013054830282,1572.9168491229573,1826.366537043795,-18.450000000000085,-10458.929903953755,0.0107801151442115,0.2764877400704425,44026,83.29109954833984
45,1789.5035285043095,854.3485639686684,101.15,1490.1235208738221,0.9596354166666666,0.050000000000000044,8543.485639686683,1490.123520873801,1816.1635285043183,-15.65999999999971,-10044.609160561073,0.01062864615831046,0.26943910802097626,43747,84.54472517967224
46,1785.6457792159936,1228.467362924282,138.15,1630.4337868090236,0.96,0.050000000000000044,12284.673629242823,1630.4337868089904,1811.2857792159753,-14.639999999999732,-13926.10741605242,0.011529817669226106,0.2960650369135778,43645,80.24048018455505
47,1557.8818033438947,968.4131853785901,162.55,1521.3108317547787,0.9521354166666667,0.050000000000000044,9684.1318537859,1354.3699229993292,1753.0523913042357,-17.2699999999999,-11216.40236474618,0.013866463836196632,0.31160049328329753,42269,76.76734471321106
48,1788.6696210742462,833.1364229765013,130.5,1105.4089399493223,0.9596875,0.050000000000000044,8331.364229765017,1105.4089399492962,1814.639621074246,-14.969999999999725,-9447.773169714917,0.012420681992510032,0.3005984584142203,43678,75.56852960586548
49,1786.7103804354,980.9236292428199,137.25,1343.7595758813254,0.959375,0.050000000000000044,9809.236292428204,1343.7595758812986,1814.1703804354272,-16.459999999999773,-11163.99586830939,0.014193864944527198,0.31502567395285674,43827,73.76248264312744
50,1790.732852089338,1025.5874673629244,143.1,1952.5197175822284,0.95984375,0.050000000000000044,10255.874673629241,1952.519717582219,1817.3728520893303,-15.639999999999711,-12219.39439121149,0.014746189520776038,0.31084573258811427,43745,79.72704362869263
